timestamp,price_ct_per_kwh
2023-03-23T23:00:00Z,3.331
2023-03-24T00:00:00Z,3.048
2023-03-24T01:00:00Z,3.029
2023-03-24T02:00:00Z,3.102
2023-03-24T03:00:00Z,3.394
2023-03-24T04:00:00Z,3.922
2023-03-24T05:00:00Z,4.484
2023-03-24T06:00:00Z,5.859
2023-03-24T07:00:00Z,7.607
2023-03-24T08:00:00Z,5.88
2023-03-24T09:00:00Z,3.996
2023-03-24T10:00:00Z,3.416
2023-03-24T11:00:00Z,3.649
2023-03-24T12:00:00Z,2.974
2023-03-24T13:00:00Z,3.072
2023-03-24T14:00:00Z,2.997
2023-03-24T15:00:00Z,3.834
2023-03-24T16:00:00Z,4.992
2023-03-24T17:00:00Z,5.056
2023-03-24T18:00:00Z,4.48
2023-03-24T19:00:00Z,3.992
2023-03-24T20:00:00Z,3.809
2023-03-24T21:00:00Z,3.385
2023-03-24T22:00:00Z,2.963
